Transition,λ,OscillatorStrength,DampingCoefficient
AlI_2264,2264.164795,0.0892,7.14e7
CaI_2276,2276.168945,0.0661,2.84e7
NiI_2311,2311.668945,0.3765,4.7e8
NiI_2320,2320.746826,0.685,6.94e8
FeII_2328star2,2328.111084,0.03555,3.0e8
FeII_2333star,2333.516113,0.06917,3.0e8
SiII_2335,2335.123047,4.0e-6,9610.0
FeII_2338star3,2338.725098,0.0925,3.0e8
FeII_2344,2344.213867,0.1142,2.68e8
FeII_2345star4,2345.000977,0.1575,3.0e8
FeII_2359star3,2359.827881,0.05727,3.0e8
FeII_2365star,2365.552002,0.0495,3.0e8
FeII_2367,2367.590576,2.2e-5,3.07e8
AlI_2367,2367.774902,0.106,7.58e7
FeII_2374,2374.461182,0.0313,3.09e8
FeII_2382,2382.765137,0.32,3.13e8
FeII_2383star,2383.788086,0.00517,3.0e8
FeII_2389star,2389.35791,0.0825,3.0e8
FeII_2414star4,2414.044922,0.1755,3.0e8
FeI_2463,2463.39209,0.0532,5.0e8
FeI_2484,2484.020996,0.544,5.0e8
FeI_2501,2501.885742,0.0493,3.85e8
SiI_2515,2515.07251,0.211,2.22e8
FeI_2523,2523.608398,0.203,3.85e8
MnII_2576,2576.876953,0.361,2.82e8
FeII_2586,2586.649658,0.069125,2.72e8
MnII_2594,2594.499023,0.28,2.78e8
FeII_2600,2600.172852,0.2394,2.7e8
MnII_2606,2606.461914,0.198,2.72e8
FeII_2607star2,2607.865967,0.118,3.0e8
FeII_2618star2,2618.398926,0.0505,3.0e8
FeII_2621star3,2621.190918,0.00392,3.0e8
FeII_2622star4,2622.451904,0.056,3.0e8
FeII_2626star,2626.450928,0.0441,3.0e8
FeII_2629star4,2629.077881,0.173,3.0e8
FeI_2719,2719.833008,0.122,1.75e8
MgIIc_2796,2796.347412,0.6155,2.625e8
MgIIb_2796,2796.351074,0.6155,2.625e8
MgII_2796,2796.354248,0.6155,2.625e8
MgIIa_2796,2796.355225,0.6155,2.625e8
MgIIc_2803,2803.524414,0.3058,2.595e8
MgIIb_2803,2803.52832,0.3058,2.595e8
MgII_2803,2803.531494,0.3058,2.595e8
MgIIa_2803,2803.532471,0.3058,2.595e8
NaI_2852,2852.811035,0.00135,554000.0
MgI_2852,2852.963135,1.83,5.0e8
NaI_2853,2853.011963,0.000677,554000.0
FeI_2967,2967.764648,0.0438,1.27e8
FeI_3021,3021.518799,0.104,1.69e8
TiII_3067,3067.237793,0.0489,2.5e8
TiII_3073,3073.863281,0.121,2.56e8
AlI_3083,3083.046143,0.177,7.45e7
BeII_3131a,3131.329102,0.3321,1.13e8
BeII_3131b,3131.974121,0.166,1.129e8
TiII_3230,3230.12207,0.0687,2.44e8
TiII_3242,3242.918457,0.232,2.44e8
NaI_3303a,3303.368896,0.0092,9.641e6
NaI_3303b,3303.978027,0.0046,9.639e6
TiII_3384,3384.730469,0.358,1.75e8
FeI_3720,3720.99292,0.0411,1.63e7
CaII_3934,3934.774902,0.6267,1.444e8
AlI_3945,3945.122314,0.116,1.48e8
CaII_3969,3969.590088,0.3116,1.409e8
CaI_4227,4227.917969,1.77,2.2e8
HI2_4341,4341.689941,0.04437,9.425e6
HI2_4862,4862.687988,0.1218,2.062e7
NaI_5891,5891.583496,0.6408,6.157e7
NaI_5897,5897.558105,0.3201,6.139e7
HI2_6564,6564.623047,0.6958,6.465e7
