Transition,Ion,λ,OscillatorStrength,DampingCoefficient,Mass
VI_3205,VI,3205.1128,0.000995,5.129e6,49.947
TiI_3206,TiI,3206.0871,0.000332,2.344e7,45.953
TiI_3206.8,TiI,3206.7717,0.00107,2.291e7,45.953
MnI_3217,MnI,3217.8717,0.000241,1.288e6,54.938
KI_3218,KI,3218.0831,0.00032,1.698e6,38.964
KI_3218.5,KI,3218.5491,0.00016,1.66e6,38.964
NiI_3222,NiI,3222.5819,0.0015,1.0e8,57.935
MnI_3225,MnI,3225.6865,0.000565,1.585e6,54.938
NiI_3227,NiI,3227.9151,0.000306,3.02e6,57.935
TiII_3230,TiII,3230.1219,0.0773,2.399e8,45.953
LiI_3233,LiI,3233.5621,0.00279,4.571e6,6.967
LiI_3233.6,LiI,3233.5721,0.0014,4.571e6,6.967
LiI_3233.61,LiI,3233.6122,0.00279,4.571e6,6.967
LiI_3233.62,LiI,3233.6212,0.0014,4.571e6,6.967
NiI_3233,NiI,3233.8667,0.0106,5.37e6,57.935
TiII_3242,TiII,3242.9181,0.233,2.399e8,45.953
ScII_3245,ScII,3245.0991,0.00341,1.349e8,44.956
CuI_3248,CuI,3248.4739,0.491,1.585e8,62.93
ScI_3256,ScI,3256.623,0.0508,3.09e8,44.956
VI_3264,VI,3264.1785,0.0208,9.333e7,49.947
ScI_3270,ScI,3270.8416,0.251,3.09e8,44.956
CuI_3274,CuI,3274.898,0.244,1.514e8,62.93
TiI_3334,TiI,3334.8677,0.000284,1.514e8,45.953
TiI_3342,TiI,3342.834,0.187,1.23e8,45.953
TiI_3343,TiI,3343.108,0.00957,1.549e8,45.953
TiI_3343.7,TiI,3343.6668,0.000815,1.66e8,45.953
TiI_3349,TiI,3349.4941,0.00098,1.698e8,45.953
CrI_3352,CrI,3352.9265,0.000188,1.95e7,49.946
ScII_3353,ScII,3353.0125,0.0045,1.514e8,44.956
TiI_3359,TiI,3359.2359,0.011,1.413e8,45.953
ScII_3362,ScII,3362.2309,0.0575,1.479e8,44.956
ScII_3362.9,ScII,3362.897,0.0661,1.479e8,44.956
NiI_3370,NiI,3370.5336,0.0232,2.754e7,57.935
TiI_3371,TiI,3371.4021,0.0796,1.38e8,45.953
CrI_3380,CrI,3380.1404,0.000136,1.82e7,49.946
TiII_3384,TiII,3384.73,0.353,1.66e8,45.953
NiI_3392,NiI,3392.0165,0.0099,1.0e8,57.935
NiI_3410,NiI,3410.5526,0.000413,8.71e7,57.935
CoI_3413,CoI,3413.6122,0.0166,3.981e7,58.933
NiI_3438,NiI,3438.2627,0.00701,1.023e7,57.935
FeI_3441,FeI,3441.5916,0.0236,2.188e7,55.847
ScI_3445,ScI,3445.5646,0.000272,5.888e7,44.956
KI_3447,KI,3447.3593,0.00119,3.388e6,38.964
KI_3448,KI,3448.3627,0.000593,3.311e6,38.964
CoI_3466,CoI,3466.7855,0.02,1.514e7,58.933
CoI_3474,CoI,3474.9689,0.00461,1.66e7,58.933
TiI_3483,TiI,3483.9834,0.000197,1.349e8,45.953
YI_3485,YI,3485.0444,0.00321,6.761e7,88.906
TiI_3496,TiI,3496.9544,0.00039,1.349e8,45.953
YII_3497,YII,3497.08,0.191,2.884e8,88.906
NiI_3503,NiI,3503.5958,0.000328,46770.0,57.935
CoI_3527,CoI,3527.8578,0.024,1.905e7,58.933
YI_3553,YI,3553.7046,0.0482,3.236e8,88.906
NiI_3562,NiI,3562.7679,0.000557,302000.0,57.935
ScII_3568,ScII,3568.7148,0.111,2.399e8,44.956
CrI_3579,CrI,3579.7256,0.376,1.778e8,49.946
ScII_3581,ScII,3581.9472,0.237,2.399e8,44.956
YI_3593,YI,3593.9361,0.305,3.162e8,88.906
CrI_3594,CrI,3594.5275,0.292,1.778e8,49.946
TiI_3604,TiI,3604.8715,0.000176,1.778e6,45.953
CrI_3606,CrI,3606.3725,0.211,1.778e8,49.946
CrI_3616,CrI,3616.6772,0.000127,2.138e6,49.946
NiI_3625,NiI,3625.7615,0.000411,166000.0,57.935
YII_3634,YII,3634.1568,0.794,1.995e8,88.906
TiI_3636,TiI,3636.4983,0.252,1.82e8,45.953
TiI_3639,TiI,3639.0015,0.002,9.333e6,45.953
ScII_3643,ScII,3643.8222,0.453,1.862e8,44.956
TiI_3647,TiI,3647.2353,0.0048,1.047e7,45.953
CrI_3652,CrI,3652.0108,0.000587,562300.0,49.946
TiI_3655,TiI,3655.6307,0.011,1.122e7,45.953
VI_3678,VI,3678.1257,0.000541,2.138e6,49.947
FeI_3680,FeI,3680.9608,0.0028,1.82e7,55.847
TiI_3718,TiI,3718.4487,0.0129,7.413e7,45.953
FeI_3720,FeI,3720.9925,0.0412,1.905e7,55.847
TiI_3730,TiI,3730.8672,0.105,7.244e7,45.953
CrI_3731,CrI,3731.863,0.000266,6.607e7,49.946
CrI_3733,CrI,3733.0893,0.000385,6.457e7,49.946
NaI_5891,NaI,5891.5833,0.641,6.295e7,22.99
NaI_5897,NaI,5897.5582,0.32,6.281e7,22.99
CIa_945,CIa,945.3379,0.153,3.981e9,12.011
CIb_945,CIb,945.579,0.152,3.981e9,12.011
CIIa_1037,CIIa,1037.018,0.117,2.291e9,12.011
CIa_1109,CIa,1109.8353,0.000624,3.02e7,12.011
CIa_1110,CIa,1110.6431,0.000121,2.63e7,12.011
CIa_1111,CIa,1111.6232,0.000145,1.259e8,12.011
CIa_1111.7,CIa,1111.7257,0.0056,6.31e7,12.011
CIb_1112.0,CIb,1111.9569,0.000194,1.259e8,12.011
CIb_1112.1,CIb,1112.0578,0.00416,9.333e7,12.011
CIb_1112.8,CIb,1112.8058,0.000307,1.862e8,12.011
CIa_1113,CIa,1113.9971,0.000264,1.66e7,12.011
CIa_1114,CIa,1114.126,0.0013,9.333e6,12.011
CIb_1114,CIb,1114.3322,0.000272,1.66e7,12.011
CIb_1114.5,CIb,1114.4571,0.00205,1.82e7,12.011
CIb_1114.46,CIb,1114.4612,0.000519,9.333e6,12.011
CIa_1114.8,CIa,1114.8304,0.000265,1.122e7,12.011
CIa_1117,CIa,1117.2046,0.000363,2.089e7,12.011
CIa_1117.3,CIa,1117.3379,0.00126,2.291e7,12.011
CIa_1117.4,CIa,1117.3932,0.00172,1.122e7,12.011
CIb_1117,CIb,1117.5416,0.000371,2.089e7,12.011
CIb_1117.60,CIb,1117.6042,0.00338,3.388e7,12.011
CIb_1117.7,CIb,1117.675,0.000124,2.291e7,12.011
CIb_1117.73,CIb,1117.7304,0.000805,1.122e7,12.011
CIa_1118,CIa,1118.0703,0.00051,1.479e7,12.011
CIa_1121,CIa,1121.64,0.000692,2.884e7,12.011
CIa_1121.7,CIa,1121.659,0.000659,1.862e7,12.011
CIa_1121.73,CIa,1121.7261,0.000153,2.692e7,12.011
CIa_1121.8,CIa,1121.7582,0.000134,2.089e7,12.011
CIa_1121.9,CIa,1121.9198,0.000679,2.57e7,12.011
CIb_1121,CIb,1121.9988,0.000448,1.862e7,12.011
CIa_1122,CIa,1122.004,0.00267,1.778e7,12.011
CIb_1122.1,CIb,1122.098,0.00127,2.089e7,12.011
CIb_1122.3,CIb,1122.2597,0.000159,2.57e7,12.011
CIb_1122.33,CIb,1122.3269,0.0028,2.57e7,12.011
CIa_1122.6,CIa,1122.644,0.000515,1.905e7,12.011
CIa_1122.8,CIa,1122.77,0.000238,5.37e6,12.011
CIb_1123,CIb,1123.0656,0.000144,1.995e7,12.011
CIa_1128,CIa,1128.25,0.000988,3.802e7,12.011
CIa_1128.3,CIa,1128.28,0.000946,3.236e7,12.011
CIa_1128.4,CIa,1128.38,0.000183,4.169e7,12.011
CIb_1128,CIb,1128.63,0.000665,3.236e7,12.011
CIa_1128.7,CIa,1128.6861,0.000914,1.95e7,12.011
CIb_1128.8,CIb,1128.75,0.00194,2.818e7,12.011
CIa_1128.8,CIa,1128.8168,0.00512,2.818e7,12.011
CIb_1129,CIb,1129.03,0.000208,1.95e7,12.011
CIa_1129,CIa,1129.078,0.000315,2.399e7,12.011
CIb_1129.1,CIb,1129.135,0.00456,3.802e7,12.011
CIa_1129.4,CIa,1129.4045,0.000931,2.951e7,12.011
CIb_1129.4,CIb,1129.42,0.00229,2.399e7,12.011
CIa_1129.5,CIa,1129.5269,0.000138,2.57e7,12.011
CIa_1129.6,CIa,1129.59,0.000409,9.772e6,12.011
CIb_1129.9,CIb,1129.87,0.000255,2.57e7,12.011
CIa_1138,CIa,1138.557,0.0015,5.129e7,12.011
CIa_1138.6,CIa,1138.595,0.00142,4.169e7,12.011
CIa_1138.8,CIa,1138.77,0.000193,4.571e7,12.011
CIb_1138,CIb,1138.9457,0.00105,4.169e7,12.011
CIb_1139.1,CIb,1139.093,0.00311,3.715e7,12.011
CIa_1139,CIa,1139.2998,0.00122,4.074e7,12.011
CIa_1139.5,CIa,1139.514,0.00883,4.898e7,12.011
CIb_1139.7,CIb,1139.65,0.000264,4.074e7,12.011
CIa_1139.8,CIa,1139.7659,0.0015,4.365e7,12.011
CIb_1139.8,CIb,1139.812,0.00807,5.888e7,12.011
CIb_1139.9,CIb,1139.865,0.000253,4.898e7,12.011
CIa_1140,CIa,1140.005,0.00184,4.677e7,12.011
CIb_1140,CIb,1140.1167,0.00359,4.365e7,12.011
CIa_1140.2,CIa,1140.223,0.000286,3.981e7,12.011
CIa_1140.3,CIa,1140.316,0.000748,1.862e7,12.011
CIb_1140.6,CIb,1140.574,0.000489,3.981e7,12.011
CIa_1155,CIa,1155.979,0.0025,7.586e7,12.011
CIa_1156,CIa,1156.028,0.00227,6.761e7,12.011
CIa_1156.2,CIa,1156.199,0.0008,6.026e7,12.011
CIb_1156,CIb,1156.389,0.00182,6.761e7,12.011
CIa_1156.4,CIa,1156.4,0.000163,6.761e7,12.011
CIb_1156.6,CIb,1156.56,0.0054,6.026e7,12.011
CIa_1157,CIa,1157.4056,0.00151,5.012e7,12.011
CIb_1157.8,CIb,1157.7674,0.000301,5.012e7,12.011
CIa_1157.8,CIa,1157.769,0.00879,9.333e7,12.011
CIb_1158,CIb,1158.0188,0.0157,1.072e8,12.011
CIa_1158,CIa,1158.0349,0.0104,7.244e7,12.011
CIa_1158.1,CIa,1158.1299,0.00398,1.023e8,12.011
CIb_1158.1,CIb,1158.1317,0.00519,9.333e7,12.011
CIb_1158.4,CIb,1158.397,0.00165,7.244e7,12.011
CIa_1158.5,CIa,1158.544,0.000676,5.129e7,12.011
CIa_1158.7,CIa,1158.674,0.00147,3.715e7,12.011
CIb_1158.9,CIb,1158.9068,0.00101,5.129e7,12.011
CIa_1188,CIa,1188.992,0.00507,1.349e8,12.011
CIa_1189,CIa,1189.065,0.00426,1.318e8,12.011
CIa_1189.2,CIa,1189.2488,0.00385,1.23e8,12.011
CIb_1189,CIb,1189.4468,0.00377,1.318e8,12.011
CIb_1189.6,CIb,1189.6307,0.0112,1.23e8,12.011
CIa_1190,CIa,1190.253,0.000102,1.175e8,12.011
CIa_1192,CIa,1192.4492,0.00162,6.166e7,12.011
CIb_1192,CIb,1192.8332,0.00028,6.166e7,12.011
CIa_1193,CIa,1193.0085,0.0281,1.995e8,12.011
CIb_1193,CIb,1193.24,0.0332,2.042e8,12.011
CIa_1193.3,CIa,1193.2637,0.00916,2.089e8,12.011
CIb_1193.4,CIb,1193.3928,0.0074,1.995e8,12.011
CIb_1193.6,CIb,1193.6483,0.000288,2.089e8,12.011
CIa_1194,CIa,1194.229,0.00178,7.413e7,12.011
CIa_1194.3,CIa,1194.301,0.00146,1.096e7,12.011
CIa_1194.4,CIa,1194.4055,0.00314,6.918e7,12.011
CIb_1194.6,CIb,1194.6146,0.00227,7.413e7,12.011
CIa_1260,CIa,1260.9262,0.014,3.631e8,12.011
CIa_1261.0,CIa,1260.996,0.0108,3.548e8,12.011
CIa_1261,CIa,1261.122,0.0153,3.467e8,12.011
CIb_1261,CIb,1261.4255,0.0104,3.548e8,12.011
CIb_1261.6,CIb,1261.5519,0.0311,3.467e8,12.011
CIa_1276,CIa,1276.7498,0.00229,1.514e8,12.011
CIb_1277.2,CIb,1277.19,0.000266,1.514e8,12.011
CIa_1277,CIa,1277.282,0.0692,3.802e8,12.011
CIa_1277.5,CIa,1277.513,0.0226,3.89e8,12.011
CIb_1277.5,CIb,1277.55,0.078,3.802e8,12.011
CIb_1277.7,CIb,1277.723,0.0154,3.802e8,12.011
CIb_1278.0,CIb,1277.9539,0.000873,3.89e8,12.011
CIa_1279.9,CIa,1279.89,0.014,1.549e8,12.011
CIb_1280,CIb,1280.333,0.0157,1.549e8,12.011
CIa_1280,CIa,1280.404,0.00461,1.445e8,12.011
CIa_1280.6,CIa,1280.597,0.00723,1.413e8,12.011
CIb_1280.8,CIb,1280.847,0.00535,1.445e8,12.011
CIa_1329,CIa,1329.0849,0.0196,4.571e8,12.011
CIa_1329.1,CIa,1329.1,0.0238,4.467e8,12.011
CIa_1329.12,CIa,1329.123,0.0147,4.571e8,12.011
CIb_1329,CIb,1329.5775,0.0436,4.467e8,12.011
CIb_1329.6,CIb,1329.6,0.0146,4.571e8,12.011
CIIa_1335.7,CIIa,1335.6627,0.0127,3.981e8,12.011
CIIa_1335.71,CIIa,1335.7077,0.116,3.89e8,12.011
CIa_1560,CIa,1560.682,0.0537,3.02e8,12.011
CIa_1560.7,CIa,1560.708,0.0179,3.02e8,12.011
CIb_1561,CIb,1561.3399,0.0107,3.02e8,12.011
CIb_1561.4,CIb,1561.3668,0.000713,3.02e8,12.011
CIb_1561.44,CIb,1561.4378,0.0601,3.02e8,12.011
CIa_1656,CIa,1656.266,0.0598,3.981e8,12.011
CIb_1657,CIb,1657.008,0.107,3.981e8,12.011
CIa_1657,CIa,1657.3792,0.0356,3.981e8,12.011
CIa_1657.9,CIa,1657.907,0.0476,3.981e8,12.011
CIb_1658,CIb,1658.1211,0.0357,3.981e8,12.011
SiIIa_1264,SiIIa,1264.7377,1.05,2.95e9,28.085
SiIIa_1265,SiIIa,1265.002,0.117,2.95e9,28.085
FeIIa_2333,FeIIa,2333.5156,0.0778,2.62e8,55.847
C13I_1328,C13I,1328.825,0.0581,4.571e8,13.003
C13Ia_1329,C13Ia,1329.079,0.0196,4.571e8,13.003
C13Ia_1329.1,C13Ia,1329.094,0.0238,4.467e8,13.003
C13Ia_1329.12,C13Ia,1329.115,0.0147,4.571e8,13.003
C13Ib_1329,C13Ib,1329.5699,0.0436,4.467e8,13.003
C13Ib_1329.6,C13Ib,1329.592,0.0146,4.571e8,13.003
C13II_1334,C13II,1334.561,0.129,3.981e8,13.003
C13IIa_1335.7,C13IIa,1335.649,0.0127,3.981e8,13.003
C13IIa_1335.71,C13IIa,1335.692,0.116,3.89e8,13.003
C13I_1560,C13I,1560.292,0.0716,3.02e8,13.003
C13Ia_1560,C13Ia,1560.665,0.0537,3.02e8,13.003
C13Ia_1560.7,C13Ia,1560.692,0.0179,3.02e8,13.003
C13Ib_1561,C13Ib,1561.322,0.0107,3.02e8,13.003
C13Ib_1561.4,C13Ib,1561.35,0.000713,3.02e8,13.003
C13Ib_1561.44,C13Ib,1561.424,0.0601,3.02e8,13.003
C13Ia_1656,C13Ia,1656.271,0.0598,3.981e8,13.003
C13I_1656,C13I,1656.932,0.143,3.981e8,13.003
C13Ib_1657,C13Ib,1657.012,0.107,3.981e8,13.003
C13Ia_1657,C13Ia,1657.3831,0.0356,3.981e8,13.003
C13Ia_1657.9,C13Ia,1657.916,0.0476,3.981e8,13.003
C13Ib_1658,C13Ib,1658.125,0.0357,3.981e8,13.003
Mg25II_2796,Mg25II,2796.348,0.629,2.692e8,24.305
Mg26II_2796,Mg26II,2796.3442,0.629,2.692e8,24.305
Mg25II_2803,Mg25II,2803.5268,0.308,2.692e8,24.305
Mg26II_2803,Mg26II,2803.523,0.308,2.692e8,24.305
Mg25I_2852,Mg25I,2852.9622,1.8,5.129e8,24.305
Mg26I_2852,Mg26I,2852.9604,1.8,5.129e8,24.305
OIa_1304,OIa,1304.8576,0.0478,5.65e8,15.999
OIb_1306,OIb,1306.0286,0.0478,5.65e8,15.999
NiII_1317,NiII,1317.217,0.0596,8.128e8,57.935
NiII_1370,NiII,1370.132,0.0616,1.202e9,57.935
NiII_1393,NiII,1393.324,0.0125,4.571e8,57.935
NiII_1454,NiII,1454.842,0.022,5.888e8,57.935
NiII_1467,NiII,1467.259,0.004,5.888e8,57.935
NiII_1467.8,NiII,1467.756,0.0067,4.467e8,57.935
NiII_1502,NiII,1502.148,0.0077,4.169e8,57.935
NiII_1703,NiII,1703.4119,0.0054,7.244e8,57.935
NiII_1709,NiII,1709.6042,0.0318,5.888e8,57.935
NiII_1741,NiII,1741.5531,0.0432,6.918e8,57.935
NiII_1751,NiII,1751.9157,0.028,4.786e8,57.935
NiII_1773,NiII,1773.949,0.0042,3.548e8,57.935
NiII_1804,NiII,1804.473,0.0046,4.169e8,57.935
ZnII_2026,ZnII,2026.137,0.63,4.07e8,65.392
ZnII_2062,ZnII,2062.6604,0.31,3.86e8,65.392
MgI_2026,MgI,2026.477,0.11,6.12e7,24.305
PbII_915,PbII,915.273,0.029,1.0e8,203.973
PbII_926,PbII,926.44,0.0056,1.0e8,203.973
PbII_967,PbII,967.23,0.004,1.0e8,203.973
PbII_986,PbII,986.71,0.0027,1.0e8,203.973
PbII_1060,PbII,1060.66,0.036,1.0e8,203.973
PbII_1121,PbII,1121.36,0.019,1.0e8,203.973
PbII_1433,PbII,1433.96,0.45,1.62e9,203.973
PbII_1682,PbII,1682.15,0.12,8.31e8,203.973
KrVI_927,KrVI,927.34,0.0019,1.0e8,77.92
KrII_917,KrII,917.427,0.0014,1.0e8,77.92
KrI_922,KrI,922.738,0.02,1.0e8,77.92
KrI_923,KrI,923.712,0.044,1.0e8,77.92
KrI_928,KrI,928.71,0.0015,1.0e8,77.92
KrI_945,KrI,945.441,0.11,1.0e8,77.92
KrI_946,KrI,946.536,0.061,1.0e8,77.92
KrI_951,KrI,951.055,0.01,1.0e8,77.92
KrI_953,KrI,953.403,0.043,1.0e8,77.92
KrI_963,KrI,963.3745,0.014,1.0e8,77.92
KrI_1001,KrI,1001.0606,0.15,1.0e8,77.92
KrI_1003,KrI,1003.55,0.082,1.0e8,77.92
KrI_1030,KrI,1030.022,0.0053,1.0e8,77.92
KrI_1164,KrI,1164.867,0.19,3.09e8,77.92
KrI_1235,KrI,1235.838,0.21,2.98e8,77.92
GeIV_1188,GeIV,1188.99,0.52,1.0e8,69.924
GeIV_1229,GeIV,1229.81,0.25,1.131e9,69.924
GeIII_1088,GeIII,1088.45,1.8,1.0e8,69.924
GeIII_1600,GeIII,1600.09,0.0012,1.0e8,69.924
GeII_999,GeII,999.1009,0.26,8.54e8,69.924
GeII_1055,GeII,1055.0252,0.026,1.0e8,69.924
GeII_1085,GeII,1085.513,0.3,8.6e8,69.924
GeII_1098,GeII,1098.71,0.55,3.03e9,69.924
GeII_1164,GeII,1164.273,0.28,1.38e9,69.924
GeII_1237,GeII,1237.058,1.2,2.68e9,69.924
GeII_1602,GeII,1602.4864,0.14,1.06e9,69.924
GeI_1934,GeI,1934.0483,0.012,1.16e8,69.924
GeI_2042,GeI,2042.3676,0.29,2.25e8,69.924
GeI_2498,GeI,2498.7156,0.031,2.36e8,69.924
GeI_2652,GeI,2652.3577,0.22,2.14e8,69.924
GaIII_1495,GaIII,1495.045,0.54,8.106e8,68.926
GaIII_1534,GaIII,1534.462,0.26,7.498e8,68.926
GaII_1414,GaII,1414.401,1.8,1.97e9,68.926
GaI_2196,GaI,2196.032,0.0014,1.0e8,68.926
GaI_2218,GaI,2218.73,0.012,1.0e8,68.926
GaI_2255,GaI,2255.733,0.0024,1.0e8,68.926
GaI_2294,GaI,2294.9,0.011,1.0e8,68.926
GaI_2372,GaI,2372.01,0.0047,1.0e8,68.926
GaI_2450,GaI,2450.82,0.05,1.0e8,68.926
GaI_2660,GaI,2660.664,0.013,1.0e8,68.926
GaI_2875,GaI,2875.078,0.29,1.224e8,68.926
GaI_4034,GaI,4034.124,0.12,1.411e8,68.926
ZnII_938,ZnII,938.713,0.0018,1.0e8,63.929
ZnII_949,ZnII,949.463,0.0047,1.0e8,63.929
ZnII_984,ZnII,984.141,0.0025,7.762e6,63.929
ZnII_986,ZnII,986.524,0.0015,4.863e6,63.929
ZnI_1109,ZnI,1109.1,0.037,1.0e8,63.929
ZnI_1589,ZnI,1589.561,0.14,1.073e8,63.929
ZnI_2139,ZnI,2139.248,1.5,7.09e8,63.929
NiII_993,NiII,993.542,0.0082,1.0e8,57.935
NiI_2255,NiI,2255.498,0.0073,1.0e8,57.935
CoII_1187,CoII,1187.413,0.0074,1.0e8,58.933
CoII_1188,CoII,1188.486,0.0023,1.0e8,58.933
FeII_937,FeII,937.651,0.007,1.0e8,55.847
FeII_1063,FeII,1063.17,0.055,1.0e8,55.847
FeI_3825,FeI,3825.5287,0.0048,1.0e8,55.847
FeI_3861,FeI,3861.0055,0.022,1.0e8,55.847
MnI_4031,MnI,4031.9,0.052,1.0e8,54.938
MnI_4034,MnI,4034.21,0.037,1.0e8,54.938
MnI_4035,MnI,4035.63,0.024,1.0e8,54.938
CrII_1059,CrII,1059.732,0.011,1.0e8,49.946
CrII_1066,CrII,1066.776,0.0052,1.0e8,49.946
CrII_2056,CrII,2056.2539,0.105,4.07e8,49.946
CrI_4255,CrI,4255.5493,0.12,3.148e7,49.946
CrI_4276,CrI,4276.0147,0.086,1.0e8,49.946
CrI_4290,CrI,4290.9376,0.061,3.156e7,49.946
TiI_3891,TiI,3891.0526,0.0012,1.0e8,45.953
TiI_3899,TiI,3899.5931,0.0013,1.0e8,45.953
TiI_3915,TiI,3915.8464,0.0011,1.0e8,45.953
TiI_3922,TiI,3922.533,0.0059,1.0e8,45.953
TiI_3930,TiI,3930.9867,0.021,1.0e8,45.953
TiI_3949,TiI,3949.7884,0.08,1.0e8,45.953
TiI_3963,TiI,3963.9721,0.016,1.0e8,45.953
TiI_3982,TiI,3982.8878,0.11,3.756e7,45.953
TiI_3983,TiI,3983.607,0.011,1.0e8,45.953
TiI_4657,TiI,4657.772,0.01,1.0e8,45.953
TiI_4998,TiI,4998.487,0.0017,1.0e8,45.953
TiI_5015,TiI,5015.585,0.012,1.0e8,45.953
TiI_5148,TiI,5148.911,0.0023,1.0e8,45.953
TiI_5175,TiI,5175.181,0.017,1.0e8,45.953
CaI_4227,CaI,4227.92,1.7,2.18e8,39.963
KI_4045,KI,4045.279,0.0057,7.341e6,38.964
KI_4048,KI,4048.351,0.0026,7.338e6,38.964
KI_7667,KI,7667.0089,0.67,3.867e7,38.964
KI_7701,KI,7701.0835,0.33,3.816e7,38.964
ArII_919,ArII,919.781,0.01,2.07e8,35.968
ArI_1048,ArI,1048.22,0.26,3.18e7,35.968
ArI_1066,ArI,1066.66,0.055,1.32e8,35.968
ClIII_1005,ClIII,1005.28,0.0096,1.0e8,35.451
ClIII_1008,ClIII,1008.78,0.019,1.0e8,35.451
ClIII_1015,ClIII,1015.02,0.029,1.0e8,35.451
ClII_1063,ClII,1063.831,0.005,1.67e8,35.451
ClII_1071,ClII,1071.036,0.014,1.65e8,35.451
ClI_1004,ClI,1004.678,0.044,1.0e8,35.451
ClI_1079,ClI,1079.882,0.0044,1.0e8,35.451
ClI_1084,ClI,1084.667,0.0064,1.0e8,35.451
ClI_1088,ClI,1088.059,0.032,1.0e8,35.451
ClI_1090,ClI,1090.739,0.011,1.0e8,35.451
ClI_1090.9,ClI,1090.982,0.015,1.0e8,35.451
ClI_1092,ClI,1092.437,0.001,1.0e8,35.451
ClI_1094,ClI,1094.769,0.0022,1.0e8,35.451
ClI_1099,ClI,1099.523,0.0016,1.0e8,35.451
ClI_1101,ClI,1101.936,0.0044,1.405e8,35.451
ClI_1188,ClI,1188.751,0.0063,2.29e8,35.451
ClI_1188.8,ClI,1188.774,0.08,1.0e8,35.451
ClI_1335,ClI,1335.726,0.03,5.424e8,35.451
ClI_1347,ClI,1347.24,0.14,5.088e8,35.451
ClI_1379,ClI,1379.528,0.0027,1.0e8,35.451
SVI_933,SVI,933.376,0.44,1.69e9,32.067
SVI_944,SVI,944.525,0.22,1.631e9,32.067
SII_906,SII,906.885,0.21,1.14e9,32.067
SII_910,SII,910.484,0.14,1.12e9,32.067
SII_912,SII,912.735,0.069,1.12e9,32.067
SII_1250,SII,1250.578,0.0052,5.129e7,32.067
SII_1253,SII,1253.805,0.01,4.266e7,32.067
SII_1259,SII,1259.518,0.016,3.388e7,32.067
SI_1092,SI,1092.669,0.015,1.0e8,32.067
SI_1103,SI,1103.753,0.0047,1.0e8,32.067
PV_1117,PV,1117.98,0.47,1.263e9,30.974
PV_1128,PV,1128.01,0.23,1.229e9,30.974
PIV_950,PIV,950.655,1.5,2.86e9,30.974
PIII_913,PIII,913.968,0.29,4.804e9,30.974
PIII_917,PIII,917.118,0.53,4.792e9,30.974
PIII_998,PIII,998.0,0.13,2.22e9,30.974
PIII_1334,PIII,1334.808,0.032,5.659e7,30.974
PI_1377,PI,1377.073,0.11,1.0e8,30.974
PI_1379,PI,1379.428,0.22,1.488e8,30.974
PI_1381,PI,1381.476,0.32,1.842e8,30.974
PI_1671,PI,1671.68,0.016,1.0e8,30.974
PI_1674,PI,1674.591,0.032,3.914e7,30.974
PI_1679,PI,1679.695,0.054,3.879e7,30.974
PI_1774,PI,1774.951,0.15,2.177e8,30.974
PI_1782,PI,1782.838,0.099,2.149e8,30.974
PI_1787,PI,1787.656,0.049,2.131e8,30.974
AlIII_1854,AlIII,1854.7164,0.56,5.432e8,26.982
AlIII_1862,AlIII,1862.7895,0.28,5.361e8,26.982
AlII_1670,AlII,1670.7867,1.7,1.46e9,26.982
AlI_2118,AlI,2118.982,0.014,1.0e8,26.982
AlI_2130,AlI,2130.335,0.021,1.0e8,26.982
AlI_2146,AlI,2146.231,0.029,1.0e8,26.982
AlI_2169,AlI,2169.485,0.042,1.0e8,26.982
AlI_2199,AlI,2199.837,0.0013,1.0e8,26.982
AlI_2205,AlI,2205.348,0.064,4.706e7,26.982
AlI_2258,AlI,2258.698,0.0029,1.0e8,26.982
AlI_2264,AlI,2264.162,0.1,7.166e7,26.982
AlI_2367,AlI,2367.775,0.13,7.605e7,26.982
AlI_2372,AlI,2372.794,0.0049,1.0e8,26.982
AlI_2568,AlI,2568.754,0.038,3.4e7,26.982
AlI_2653,AlI,2653.274,0.015,1.0e8,26.982
AlI_3083,AlI,3083.0481,0.17,7.177e7,26.982
AlI_3945,AlI,3945.1222,0.12,1.445e8,26.982
MgII_1025,MgII,1025.962,0.0011,1.0e8,24.305
MgI_1683,MgI,1683.412,0.0024,1.95e6,24.305
MgI_1707,MgI,1707.061,0.0043,3.16e6,24.305
MgI_1747,MgI,1747.794,0.0091,6.8e6,24.305
NaI_2853,NaI,2853.649,0.0013,520000.0,22.99
NaI_3303,NaI,3303.32,0.0088,9.641e6,22.99
NaI_3303.9,NaI,3303.93,0.0043,9.639e6,22.99
OI_924,OI,924.95,0.0013,1.0e8,15.999
OI_929,OI,929.517,0.0019,1.0e8,15.999
OI_936,OI,936.629,0.0031,1.0e8,15.999
OI_948,OI,948.686,0.0053,1.0e8,15.999
OI_950,OI,950.885,0.0016,1.94e7,15.999
OI_971,OI,971.738,0.0021,1.0e8,15.999
OI_971.7,OI,971.738,0.012,1.0e8,15.999
OI_976,OI,976.448,0.0033,3.86e7,15.999
OI_1039,OI,1039.23,0.0091,1.87e8,15.999
NI_952,NI,952.303,0.0023,4.51e7,14.007
NI_952.4,NI,952.415,0.002,4.92e7,14.007
NI_953,NI,953.415,0.013,1.914e8,14.007
NI_953.7,NI,953.655,0.025,1.0e8,14.007
NI_953.9,NI,953.97,0.033,1.0e8,14.007
NI_954,NI,954.104,0.004,1.88e8,14.007
NI_963,NI,963.99,0.012,8.55e7,14.007
